study,dataset,variable,instrument,question,item
scp,p,ZG,2021_1,Q0,ZG
scp,p,hhhage01,2021_1,Q50,hhhage01
scp,p,hhhage02,2021_1,Q50,hhhage02
scp,p,hhhage03,2021_1,Q50,hhhage03
scp,p,hhhbasup,2021_1,Q52,hhhbasup
scp,p,hhhincnet,2021_1,Q51,hhhincnet
scp,p,hhhsize,2021_1,Q49,hhhsize
scp,p,hhhtyp,2021_1,Q48,hhhtyp
scp,p,hpall01,2021_1,Q53e1,hpall01
scp,p,hpall02,2021_1,Q53e2,hpall02
scp,p,hpall03,2021_1,Q53e3,hpall03
scp,p,hpall04,2021_1,Q53e4,hpall04
scp,p,hpall05,2021_1,Q53e5,hpall05
scp,p,hpall06,2021_1,Q53e6,hpall06
scp,p,hpall07,2021_1,Q53e7,hpall07
scp,p,hpall08,2021_1,Q53e8,hpall08
scp,p,hpall09,2021_1,Q53e9,hpall09
scp,p,hpall10,2021_1,Q53e10,hpall10
scp,p,hpall11,2021_1,Q53e11,hpall11
scp,p,hpall12,2021_1,Q53e12,hpall12
scp,p,hpbmnth01,2021_1,Q53d1,hpbmnth01
scp,p,hpbmnth02,2021_1,Q53d2,hpbmnth02
scp,p,hpbmnth03,2021_1,Q53d3,hpbmnth03
scp,p,hpbmnth04,2021_1,Q53d4,hpbmnth04
scp,p,hpbmnth05,2021_1,Q53d5,hpbmnth05
scp,p,hpbmnth06,2021_1,Q53d6,hpbmnth06
scp,p,hpbmnth07,2021_1,Q53d7,hpbmnth07
scp,p,hpbmnth08,2021_1,Q53d8,hpbmnth08
scp,p,hpbmnth09,2021_1,Q53d9,hpbmnth09
scp,p,hpbmnth10,2021_1,Q53d10,hpbmnth10
scp,p,hpbmnth11,2021_1,Q53d11,hpbmnth11
scp,p,hpbmnth12,2021_1,Q53d12,hpbmnth12
scp,p,hpbyear01,2021_1,Q53d1,hpbyear01
scp,p,hpbyear02,2021_1,Q53d2,hpbyear02
scp,p,hpbyear03,2021_1,Q53d3,hpbyear03
scp,p,hpbyear04,2021_1,Q53d4,hpbyear04
scp,p,hpbyear05,2021_1,Q53d5,hpbyear05
scp,p,hpbyear06,2021_1,Q53d6,hpbyear06
scp,p,hpbyear07,2021_1,Q53d7,hpbyear07
scp,p,hpbyear08,2021_1,Q53d8,hpbyear08
scp,p,hpbyear09,2021_1,Q53d9,hpbyear09
scp,p,hpbyear10,2021_1,Q53d10,hpbyear10
